theater_id,name,alternate_names,address,borough,latitude,longitude,image_url,image_path,opening_year,closing_year,reopening_year,status,screen_count,source,source_url,source_date,date_source,date_source_url,date_source_date,date_research_status,confidence,notes,geocode_status,geocode_match_type,geocoded_address,geocoded_latitude,geocoded_longitude,current_place_name,current_place_category,current_place_type,closure_audit_result,closure_audit_confidence,closure_audit_source,closure_audit_date,closure_audit_note
1297,116th Street Theatre,Loew's 116th Street Theatre,"132 W. 116th Street, New York, NY 10026",Manhattan,40.8026401,-73.9514698,https://photos.cinematreasures.org/production/photos/37347/1330703229/large.jpeg?1330703229,theater_images/1297.jpeg,1926,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/1297,9/15/26,,,,,low,"Opening year is an upper bound ('prior to/before 1926'). Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"132 W 116TH ST, NEW YORK, NY, 10026",40.80226591,-73.95041563,108,building,yes,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
8732,16th Street Theatre,Universal Theatre,"166 16th Street, Brooklyn, NY 11215",Brooklyn,40.664951,-73.990818,https://photos.cinematreasures.org/production/photos/146121/1448497107/large.jpg?1448497107,theater_images/8732.jpg,1914,1956,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/8732,9/15/26,,,,,low,Closing year is approximate (1956).,,,,,,,,,,,,,
22028,2nd Avenue Theatre,"Kessler's Theatre, Molly Picon Theatre","35 - 37 2nd Avenue, New York, NY 10003",Manhattan,40.724885,-73.990543,https://photos.cinematreasures.org/production/photos/110529/1413256016/large.jpg?1413256016,theater_images/22028.jpg,1911,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/22028,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Non_Exact,"37 2ND AVE, NEW YORK, NY, 10003",40.72490616,-73.99044674,2nd Avenue,highway,primary,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
10459,34th Street East Theatre,,"241 E. 34th Street, New York, NY 10016",Manhattan,40.7449794,-73.9763445,https://photos.cinematreasures.org/production/photos/45406/1338049665/large.jpg?1338049665,theater_images/10459.jpg,1963,1997,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/10459,9/15/26,,,,,high,,,,,,,,,,,,,,
17385,42nd St. Cinema,,"422 W. 42nd Street, New York, NY 10036",Manhattan,40.7588656,-73.9937269,https://photos.cinematreasures.org/production/photos/120211/1426787301/large.jpg?1426787301,theater_images/17385.jpg,1967,1972,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/17385,9/15/26,,,,,high,,,,,,,,,,,,,,
6201,43rd Street Theatre,,"42-16 Greenpoint Avenue, Sunnyside, NY 11104",Queens,40.7405818,-73.9225037,https://photos.cinematreasures.org/production/photos/50750/1343827646/large.jpg?1343827646,theater_images/6201.jpg,1938,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/6201,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"42-16 GREENPOINT AVE, SUNNYSIDE, NY, 11104",40.7404786,-73.92279063,El Molino Carniceria,shop,convenience,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
12564,44th Street Theatre,Weber & Fields' Music Hall,"216 W. 44th Street, New York, NY 10036",Manhattan,40.7578767,-73.9873373,https://photos.cinematreasures.org/production/photos/45117/1337748291/large.jpg?1337748291,theater_images/12564.jpg,,1945,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/12564,9/15/26,,,,,low,Most recent stated closing year retained. Not stated on source page: opening year.,,,,,,,,,,,,,
56992,48th Street Theatre,Windsor Theatre,"157 W. 48th Street, New York, NY 10036",Manhattan,40.7595748,-73.9835643,https://photos.cinematreasures.org/production/photos/265129/1549842889/large.jpg?1549842889,theater_images/56992.jpg,1912,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/56992,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"157 W 48TH ST, NEW YORK, NY, 10036",40.75937279,-73.98291329,137,place,house,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
63525,49th St. Playhouse,,"W. 49th Street and Broadway, New York, NY 10019",Manhattan,,,,,1970,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/63525,9/15/26,,,,,medium,"Not stated on source page: closing year, coordinates, image. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Non_Exact,"W 49TH ST & BROADWAY, NEW YORK, NY, 10019",40.76077573,-73.98446256,Broadway,highway,tertiary,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
6376,55th Street Playhouse,"55th Street Cinema, Europa Theatre","154 W. 55th Street, New York, NY 10019",Manhattan,40.7636274,-73.980294,https://photos.cinematreasures.org/production/photos/45120/1337748603/large.jpg?1337748603,theater_images/6376.jpg,1927,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/6376,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"154 W 55TH ST, NEW YORK, NY, 10019",40.7636324,-73.97973472,PL,amenity,money_transfer,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
